image num 1,perceptron_out = 5.28635
image num 2,perceptron_out = 8.70155
image num 3,perceptron_out = 6.77575
image num 4,perceptron_out = 9.88022
image num 5,perceptron_out = 14.5419
image num 6,perceptron_out = 9.18181
image num 7,perceptron_out = 10.5841
image num 8,perceptron_out = 8.4399
image num 9,perceptron_out = 6.74882
image num 10,perceptron_out = 8.03657
image num 11,perceptron_out = 4.36467
image num 12,perceptron_out = 17.0445
image num 13,perceptron_out = 7.40338
image num 14,perceptron_out = 11.1002
image num 15,perceptron_out = 11.4789
image num 16,perceptron_out = 6.70437
image num 17,perceptron_out = 9.11011
image num 18,perceptron_out = 4.28066
image num 19,perceptron_out = 7.54303
image num 20,perceptron_out = 16.3964
image num 21,perceptron_out = 4.5893
image num 22,perceptron_out = 8.15274
image num 23,perceptron_out = 6.34817
image num 24,perceptron_out = 18.0737
image num 25,perceptron_out = 7.9986
image num 26,perceptron_out = 3.09083
image num 27,perceptron_out = 9.82124
image num 28,perceptron_out = 3.34715
image num 29,perceptron_out = 8.82129
image num 30,perceptron_out = 11.7019
image num 31,perceptron_out = 9.06575
image num 32,perceptron_out = 9.16077
image num 33,perceptron_out = 9.97753
image num 34,perceptron_out = 5.15332
image num 35,perceptron_out = 12.4952
image num 36,perceptron_out = 7.23309
image num 37,perceptron_out = 8.75888
image num 38,perceptron_out = 10.5438
image num 39,perceptron_out = 24.8684
image num 40,perceptron_out = 20.1508
image num 41,perceptron_out = 5.53946
image num 42,perceptron_out = 9.31163
image num 43,perceptron_out = 9.21504
image num 44,perceptron_out = 9.40763
image num 45,perceptron_out = 6.6105
image num 46,perceptron_out = 15.865
image num 47,perceptron_out = 6.93045
image num 48,perceptron_out = 5.01958
image num 49,perceptron_out = 22.8581
image num 50,perceptron_out = 9.04756
image num 51,perceptron_out = 4.48741
image num 52,perceptron_out = 10.9862
image num 53,perceptron_out = 7.23815
image num 54,perceptron_out = 8.23725
image num 55,perceptron_out = 10.6956
image num 56,perceptron_out = 7.65918
image num 57,perceptron_out = 5.78923
image num 58,perceptron_out = 4.3857
image num 59,perceptron_out = 4.88132
image num 60,perceptron_out = 3.83024
image num 61,perceptron_out = 19.5701
image num 62,perceptron_out = 7.33697
image num 63,perceptron_out = 9.27607
image num 64,perceptron_out = 4.16984
image num 65,perceptron_out = 8.83312
image num 66,perceptron_out = 8.91272
image num 67,perceptron_out = 6.29619
image num 68,perceptron_out = 6.19741
image num 69,perceptron_out = 6.12684
image num 70,perceptron_out = 6.68723
image num 71,perceptron_out = 6.29282
image num 72,perceptron_out = 6.94631
image num 73,perceptron_out = 15.4984
image num 74,perceptron_out = 11.2973
image num 75,perceptron_out = 4.89903
image num 76,perceptron_out = 13.8008
image num 77,perceptron_out = 5.71021
image num 78,perceptron_out = 7.62076
image num 79,perceptron_out = 6.93464
image num 80,perceptron_out = 11.0365
image num 81,perceptron_out = 11.1441
image num 82,perceptron_out = 10.044
image num 83,perceptron_out = 22.853
image num 84,perceptron_out = 10.496
image num 85,perceptron_out = 6.3106
image num 86,perceptron_out = 7.15908
image num 87,perceptron_out = 3.10786
image num 88,perceptron_out = 3.86191
image num 89,perceptron_out = 5.6096
image num 90,perceptron_out = 16.7133
image num 91,perceptron_out = 11.2703
image num 92,perceptron_out = 5.57984
image num 93,perceptron_out = 5.83318
image num 94,perceptron_out = 9.28222
image num 95,perceptron_out = 6.54558
image num 96,perceptron_out = 10.5142
image num 97,perceptron_out = 12.9798
image num 98,perceptron_out = 7.28581
image num 99,perceptron_out = 8.41827
image num 100,perceptron_out = 3.61559
image num 101,perceptron_out = 7.13715
image num 102,perceptron_out = 6.52905
image num 103,perceptron_out = 12.3399
image num 104,perceptron_out = 9.53625
image num 105,perceptron_out = 25.1323
image num 106,perceptron_out = 12.4406
image num 107,perceptron_out = 4.38158
image num 108,perceptron_out = 12.8314
image num 109,perceptron_out = 6.98326
image num 110,perceptron_out = 6.12682
image num 111,perceptron_out = 5.97693
image num 112,perceptron_out = 6.67534
image num 113,perceptron_out = 7.22878
image num 114,perceptron_out = 10.1962
image num 115,perceptron_out = 13.2232
image num 116,perceptron_out = 5.62118
