image num 1,perceptron_out = 20.3186
image num 2,perceptron_out = 10.1609
image num 3,perceptron_out = 6.96171
image num 4,perceptron_out = 7.23497
image num 5,perceptron_out = 8.91511
image num 6,perceptron_out = 6.55136
image num 7,perceptron_out = 9.80496
image num 8,perceptron_out = 10.5303
image num 9,perceptron_out = 8.7141
image num 10,perceptron_out = 5.8149
image num 11,perceptron_out = 8.0059
image num 12,perceptron_out = 7.77523
image num 13,perceptron_out = 16.2011
image num 14,perceptron_out = 10.1294
image num 15,perceptron_out = 12.2585
image num 16,perceptron_out = 8.84736
image num 17,perceptron_out = 12.0729
image num 18,perceptron_out = 5.1665
image num 19,perceptron_out = 11.78
image num 20,perceptron_out = 11.0843
image num 21,perceptron_out = 7.79394
image num 22,perceptron_out = 4.76216
image num 23,perceptron_out = 9.87598
image num 24,perceptron_out = 6.60451
image num 25,perceptron_out = 10.2847
image num 26,perceptron_out = 6.4481
image num 27,perceptron_out = 5.9575
image num 28,perceptron_out = 8.02218
image num 29,perceptron_out = 7.9338
image num 30,perceptron_out = 4.04653
image num 31,perceptron_out = 12.7433
image num 32,perceptron_out = 9.55143
image num 33,perceptron_out = 11.7913
image num 34,perceptron_out = 6.39031
image num 35,perceptron_out = 6.0061
image num 36,perceptron_out = 12.0196
image num 37,perceptron_out = 6.82354
image num 38,perceptron_out = 4.68853
image num 39,perceptron_out = 10.4239
image num 40,perceptron_out = 9.05162
image num 41,perceptron_out = 9.57875
image num 42,perceptron_out = 11.4279
image num 43,perceptron_out = 11.8814
image num 44,perceptron_out = 11.2021
image num 45,perceptron_out = 10.3112
image num 46,perceptron_out = 12.2656
image num 47,perceptron_out = 7.14777
image num 48,perceptron_out = 6.92453
image num 49,perceptron_out = 7.94079
image num 50,perceptron_out = 16.1079
image num 51,perceptron_out = 6.99928
image num 52,perceptron_out = 4.82383
image num 53,perceptron_out = 11.7139
image num 54,perceptron_out = 12.2943
image num 55,perceptron_out = 6.35711
image num 56,perceptron_out = 10.2131
image num 57,perceptron_out = 8.83233
image num 58,perceptron_out = 12.8678
image num 59,perceptron_out = 17.7411
image num 60,perceptron_out = 14.538
image num 61,perceptron_out = 10.5591
image num 62,perceptron_out = 5.9433
image num 63,perceptron_out = 12.534
image num 64,perceptron_out = 10.0064
image num 65,perceptron_out = 6.74006
image num 66,perceptron_out = 9.51501
image num 67,perceptron_out = 8.04604
image num 68,perceptron_out = 5.21794
image num 69,perceptron_out = 10.4405
image num 70,perceptron_out = 7.59803
image num 71,perceptron_out = 6.03992
image num 72,perceptron_out = 4.6716
image num 73,perceptron_out = 4.49255
image num 74,perceptron_out = 7.66771
image num 75,perceptron_out = 14.5326
image num 76,perceptron_out = 4.72406
image num 77,perceptron_out = 9.58531
image num 78,perceptron_out = 12.9893
image num 79,perceptron_out = 16.7984
image num 80,perceptron_out = 20.3456
image num 81,perceptron_out = 11.6472
image num 82,perceptron_out = 2.8433
image num 83,perceptron_out = 4.145
image num 84,perceptron_out = 4.593
image num 85,perceptron_out = 13.0082
image num 86,perceptron_out = 6.96022
image num 87,perceptron_out = 5.4291
image num 88,perceptron_out = 14.214
image num 89,perceptron_out = 7.43388
image num 90,perceptron_out = 3.72647
image num 91,perceptron_out = 19.3677
image num 92,perceptron_out = 7.49997
image num 93,perceptron_out = 10.4191
image num 94,perceptron_out = 7.6167
image num 95,perceptron_out = 6.94492
image num 96,perceptron_out = 4.96945
image num 97,perceptron_out = 11.0267
image num 98,perceptron_out = 5.20036
image num 99,perceptron_out = 8.34485
image num 100,perceptron_out = 7.47498
image num 101,perceptron_out = 24.7691
image num 102,perceptron_out = 4.15327
image num 103,perceptron_out = 14.3343
image num 104,perceptron_out = 7.88329
image num 105,perceptron_out = 5.80658
image num 106,perceptron_out = 7.04959
image num 107,perceptron_out = 9.16923
image num 108,perceptron_out = 16.0029
image num 109,perceptron_out = 4.63159
image num 110,perceptron_out = 14.5587
image num 111,perceptron_out = 23.437
image num 112,perceptron_out = 8.87479
